coord1,coord2
ST1,10,10
ST2,10,13
ST3,10,14
ST4,10,15
ST5,10,16
ST6,10,17
ST7,10,19
ST8,10,20
ST9,10,24
ST10,10,25
ST11,10,26
ST12,10,27
ST13,10,28
ST14,10,29
ST15,10,30
ST16,10,31
ST17,10,32
ST18,10,33
ST19,11,11
ST20,11,13
ST21,11,14
ST22,11,15
ST23,11,16
ST24,11,17
ST25,11,19
ST26,11,21
ST27,11,22
ST28,11,23
ST29,11,24
ST30,11,25
ST31,11,26
ST32,11,27
ST33,11,28
ST34,11,29
ST35,11,30
ST36,11,31
ST37,11,32
ST38,11,33
ST39,11,34
ST40,12,13
ST41,12,14
ST42,12,15
ST43,12,16
ST44,12,17
ST45,12,19
ST46,12,20
ST47,12,21
ST48,12,22
ST49,12,23
ST50,12,24
ST51,12,25
ST52,12,26
ST53,12,27
ST54,12,28
ST55,12,29
ST56,12,30
ST57,12,31
ST58,12,32
ST59,12,33
ST60,12,34
ST61,13,13
ST62,13,14
ST63,13,15
ST64,13,16
ST65,13,17
ST66,13,19
ST67,13,20
ST68,13,21
ST69,13,22
ST70,13,23
ST71,13,24
ST72,13,25
ST73,13,26
ST74,13,27
ST75,13,28
ST76,13,29
ST77,13,30
ST78,13,31
ST79,13,32
ST80,13,33
ST81,13,34
ST82,14,13
ST83,14,14
ST84,14,15
ST85,14,16
ST86,14,17
ST87,14,18
ST88,14,19
ST89,14,20
ST90,14,21
ST91,14,22
ST92,14,23
ST93,14,24
ST94,14,25
ST95,14,26
ST96,14,27
ST97,14,28
ST98,14,29
ST99,14,30
ST100,14,31
ST101,14,32
ST102,14,33
ST103,14,34
ST104,15,13
ST105,15,14
ST106,15,15
ST107,15,16
ST108,15,17
ST109,15,18
ST110,15,19
ST111,15,20
ST112,15,21
ST113,15,22
ST114,15,23
ST115,15,24
ST116,15,25
ST117,15,26
ST118,15,27
ST119,15,28
ST120,15,29
ST121,15,30
ST122,15,31
ST123,15,32
ST124,15,33
ST125,15,34
ST126,16,13
ST127,16,14
ST128,16,15
ST129,16,16
ST130,16,17
ST131,16,18
ST132,16,19
ST133,16,20
ST134,16,21
ST135,16,22
ST136,16,23
ST137,16,24
ST138,16,25
ST139,16,26
ST140,16,27
ST141,16,28
ST142,16,30
ST143,16,31
ST144,16,32
ST145,16,33
ST146,16,34
ST147,17,13
ST148,17,14
ST149,17,15
ST150,17,16
ST151,17,17
ST152,17,18
ST153,17,19
ST154,17,20
ST155,17,21
ST156,17,22
ST157,17,23
ST158,17,24
ST159,17,25
ST160,17,26
ST161,17,28
ST162,17,29
ST163,17,30
ST164,17,31
ST165,17,32
ST166,17,33
ST167,17,34
ST168,18,13
ST169,18,14
ST170,18,15
ST171,18,16
ST172,18,17
ST173,18,18
ST174,18,19
ST175,18,20
ST176,18,21
ST177,18,22
ST178,18,23
ST179,18,24
ST180,18,25
ST181,18,26
ST182,18,28
ST183,18,29
ST184,18,30
ST185,18,31
ST186,18,32
ST187,18,33
ST188,18,34
ST189,19,13
ST190,19,14
ST191,19,15
ST192,19,17
ST193,19,18
ST194,19,19
ST195,19,20
ST196,19,21
ST197,19,22
ST198,19,23
ST199,19,24
ST200,19,25
ST201,19,26
ST202,19,27
ST203,19,28
ST204,19,29
ST205,19,30
ST206,19,31
ST207,19,32
ST208,19,33
ST209,19,34
ST210,20,13
ST211,20,14
ST212,20,15
ST213,20,16
ST214,20,17
ST215,20,18
ST216,20,19
ST217,20,20
ST218,20,21
ST219,20,22
ST220,20,23
ST221,20,24
ST222,20,25
ST223,20,26
ST224,20,27
ST225,20,28
ST226,20,29
ST227,20,30
ST228,20,31
ST229,20,32
ST230,20,33
ST231,20,34
ST232,21,14
ST233,21,15
ST234,21,16
ST235,21,17
ST236,21,18
ST237,21,19
ST238,21,20
ST239,21,21
ST240,21,22
ST241,21,23
ST242,21,24
ST243,21,25
ST244,21,26
ST245,21,27
ST246,21,28
ST247,21,29
ST248,21,30
ST249,21,31
ST250,21,32
ST251,21,33
ST252,22,14
ST253,22,15
ST254,22,16
ST255,22,17
ST256,22,18
ST257,22,19
ST258,22,20
ST259,22,21
ST260,22,23
ST261,22,24
ST262,22,25
ST263,22,26
ST264,22,27
ST265,22,28
ST266,22,29
ST267,22,30
ST268,22,31
ST269,22,32
ST270,22,33
ST271,23,15
ST272,23,16
ST273,23,17
ST274,23,18
ST275,23,19
ST276,23,20
ST277,23,21
ST278,23,22
ST279,23,23
ST280,23,24
ST281,23,25
ST282,23,26
ST283,23,27
ST284,23,28
ST285,23,29
ST286,23,30
ST287,23,31
ST288,23,32
ST289,24,16
ST290,24,17
ST291,24,18
ST292,24,19
ST293,24,20
ST294,24,21
ST295,24,22
ST296,24,23
ST297,24,24
ST298,24,25
ST299,24,26
ST300,24,27
ST301,24,28
ST302,24,29
ST303,24,30
ST304,24,31
ST305,24,32
ST306,25,17
ST307,25,18
ST308,25,19
ST309,25,20
ST310,25,21
ST311,25,22
ST312,25,23
ST313,25,24
ST314,25,25
ST315,25,26
ST316,25,27
ST317,25,28
ST318,25,29
ST319,25,30
ST320,25,31
ST321,25,32
ST322,26,17
ST323,26,18
ST324,26,19
ST325,26,20
ST326,26,21
ST327,26,22
ST328,26,23
ST329,26,24
ST330,26,25
ST331,26,26
ST332,26,27
ST333,26,28
ST334,26,29
ST335,26,30
ST336,26,31
ST337,27,18
ST338,27,19
ST339,27,20
ST340,27,21
ST341,27,22
ST342,27,23
ST343,27,25
ST344,27,26
ST345,27,27
ST346,27,28
ST347,28,18
ST348,28,19
ST349,28,20
ST350,28,21
ST351,28,22
ST352,28,23
ST353,28,25
ST354,28,26
ST355,29,19
ST356,29,20
ST357,29,21
ST358,29,22
ST359,29,23
ST360,2,14
ST361,2,15
ST362,2,16
ST363,2,17
ST364,2,18
ST365,30,20
ST366,30,21
ST367,30,22
ST368,3,13
ST369,3,14
ST370,3,15
ST371,3,16
ST372,3,17
ST373,3,18
ST374,4,10
ST375,4,11
ST376,4,13
ST377,4,14
ST378,4,15
ST379,4,16
ST380,4,17
ST381,4,8
ST382,4,9
ST383,5,10
ST384,5,11
ST385,5,13
ST386,5,14
ST387,5,15
ST388,5,16
ST389,5,17
ST390,5,8
ST391,5,9
ST392,6,10
ST393,6,11
ST394,6,13
ST395,6,14
ST396,6,15
ST397,6,16
ST398,6,31
ST399,6,32
ST400,6,33
ST401,6,9
ST402,7,10
ST403,7,11
ST404,7,13
ST405,7,14
ST406,7,31
ST407,7,32
ST408,7,33
ST409,8,10
ST410,8,11
ST411,8,13
ST412,8,14
ST413,8,31
ST414,8,32
ST415,8,33
ST416,9,10
ST417,9,11
ST418,9,13
ST419,9,16
ST420,9,17
ST421,9,18
ST422,9,26
ST423,9,27
ST424,9,29
ST425,9,30
ST426,9,31
ST427,9,32
ST428,9,33
